Gene,RANGE,N_INFORMATIVE,NumVar,NumPolyVar,NonRefSite,P_value,Test_Type,neg_log10_p,significance_level,Q,rho,OptFreq,Zmax,Stat
GNG5,1:84736595-84744852,282,1,1,,0.0110248,SKAT-O,1.957629280289532,Suggestive,733.249,0.0,,,
RIMS2,"8:104582013-105337498,8:104582013-105337498,8:104900623-105337498,8:104582013-105337498,8:104582013-105337498,8:104900623-105337498,8:104900623-105337498,8:104900623-105337498,8:104582013-105337498,8:104900623-105337498,8:104900623-105337498,8:104582013-105337498,8:104900623-105337498,8:104582013-105337498,8:104582013-105337498,8:104900623-105337498,8:105304738-105335829,8:104900623-105337498,8:104582013-105337498,8:104582013-105337498,8:104582013-105337498,8:104900623-105337498,8:104900623-105337498,8:104582013-105337498,8:104582013-105337498,8:104900623-105337498,8:104900623-105337498,8:104582013-105337498,8:104582013-105337498,8:104900623-105337498,8:104900623-105337498,8:104582013-105337498",282,1,1,,0.0113696,SKAT-O,1.944254814190766,Suggestive,398.609,0.0,,,
FAM189A1,15:27199746-27650219,282,1,1,,0.0113749,SKAT-O,1.9440524126610996,Suggestive,433.653,0.0,,,
OTOGL,"12:79127124-79298791,12:79017447-79298791,12:79017447-79298791,12:79017447-79298791",282,4,4,,0.0113974,SKAT-O,1.9431942095790566,Suggestive,1212.55,0.0,,,
RTN4R,22:18608937-18635841,282,1,1,3.0,0.0115291,CMC,1.938204593857897,Suggestive,,,,,
PCSK2,"20:17155684-17413222,20:17154751-17413222,20:17155684-17413222",282,2,2,4.0,0.0115381,CMC,1.9378657013581166,Suggestive,,,,,
ARMC3,"10:23256987-23367458,10:23256987-23343412,10:23256987-23367458,10:23256958-23367458",282,1,1,5.0,0.0119494,CMC,1.9226539008439636,Suggestive,,,,,
TRHDE,12:70952416-71350805,282,2,2,,0.0121161,SKAT-O,1.9166371508831759,Suggestive,1284.47,0.0,,,
ZBTB20-AS5,3:115655129-115721669,282,2,2,,0.0125995,SKAT-O,1.8996466891324009,Suggestive,423.259,0.1,,,
BMPR1A,10:88506355-88677706,282,2,2,3.0,0.0127533,CMC,1.8943774241435172,Suggestive,,,,,
NCKAP5,"2:133145832-134042504,2:133145832-134042504",282,8,8,17.0,0.013137,CMC,1.881503800088212,Suggestive,,,,,
AKAP12,"6:151602794-151721387,6:151688358-151721390,6:151704533-151721387",282,1,1,4.0,0.0132816,CMC,1.8767496034834608,Suggestive,,,,,
IGF2R,6:160310103-160452524,282,2,2,5.0,0.0133454,CMC,1.8746684046273672,Suggestive,,,,,
LPCAT1,5:1514541-1577075,282,1,1,2.0,0.0136966,CMC,1.8633872273324021,Suggestive,,,,,
ERC2,"3:55517378-56477535,3:55517378-56477535",282,4,4,,0.0138527,SKAT-O,1.8584655709446793,Suggestive,1736.81,0.0,,,
MACROD2,"20:15125485-15981841,20:13924161-15981841,20:13924161-15981841,20:15125485-15981841,20:13924161-15981841",282,10,10,18.0,0.0141199,CMC,1.8501683790350634,Suggestive,,,,,
RNF103-CHMP3,2:86584063-86801756,282,3,3,,0.01435,Variable_Threshold,1.8431480989299889,Suggestive,,,0.007093,20.2622,20.2622
CDC42SE2,"5:130627644-130758264,5:130627644-130758264,5:130627644-130758264,5:130627644-130758264,5:130627644-130758264",282,2,2,,0.0144474,SKAT-O,1.8402103028901997,Suggestive,2158.65,1.0,,,
ABCB1,"7:86970268-87068136,7:86971114-87180575,7:86971114-87180575,7:86971114-87180575",282,4,4,17.0,0.0144893,CMC,1.8389525954453687,Suggestive,,,,,
CHMP3,"2:86584063-86644077,2:86584063-86644077,2:86584063-86644077,2:86584063-86644077",282,3,3,,0.0148,Variable_Threshold,1.8297382846050425,Suggestive,,,0.007093,20.2622,20.2622
CEP192,18:12981360-13115035,282,2,2,5.0,0.0149185,CMC,1.8262748413721828,Suggestive,,,,,
LOC105370401,"14:21956454-21971585,14:21917647-21971585,14:21917647-22021788,14:21956454-21971585",282,1,1,5.0,0.0158102,CMC,1.8010626361812005,Suggestive,,,,,
SMYD3,"1:243979264-244647337,1:243979271-244737204,1:243979271-244218476,1:243979271-244218476,1:243979271-244585465,1:243979271-244737204",282,2,2,7.0,0.0158489,CMC,1.8000008748032033,Suggestive,,,,,
GUSBP11,22:22310674-22389610,282,3,3,,0.0158542,SKAT-O,1.7998556675032529,Suggestive,1190.56,0.7,,,
ROBO2,"3:77171939-77781804,3:76442720-77781804,3:77171939-77781804,3:77171939-77781804,3:77229852-77781804,3:77171939-77781804,3:77229852-77781804,3:77171939-77781804,3:77229852-77781804,3:77229852-77781804,3:77229852-77781804,3:76442720-77781804,3:77229852-77781804,3:76442720-77781804,3:77229852-77781804,3:77171939-77781804,3:77171939-77781804,3:77229852-77781804,3:76442720-77781804",282,6,6,,0.01635,Variable_Threshold,1.786482243003695,Suggestive,,,0.00532,20.7956,20.7956
SLC22A3,6:160689399-160793595,282,1,1,5.0,0.0166725,CMC,1.7779992739093093,Suggestive,,,,,
LINC01580,"15:92244933-92328383,15:92244933-92318165",282,1,1,5.0,0.0167372,CMC,1.7763171942674458,Suggestive,,,,,
PDE4D,"5:58300623-58371060,5:58300623-59819649,5:58300623-59827870,5:58488303-59100431,5:58544765-59100431,5:58488303-59704247,5:58300623-59819649,5:58300623-59100431,5:58300623-58688553,5:58300623-58331482,5:58300623-58371060,5:58300623-58607698,5:58300623-59225310,5:58300622-58918081,5:58300623-58919208,5:58300623-59100431,5:58300623-58918081,5:58300623-59819649",282,2,2,,0.0169301,SKAT-O,1.7713404766624807,Suggestive,425.358,1.0,,,
ASXL3,18:29412180-29585156,282,1,1,,0.0172183,SKAT-O,1.7640097295992656,Suggestive,418.515,0.0,,,
SLCO1A2,"12:21308800-21439638,12:21308800-21379118",282,3,3,9.0,0.0173093,CMC,1.7617204949371053,Suggestive,,,,,
PPL,16:4872508-4927150,282,1,1,,0.0174343,SKAT-O,1.758595485181626,Suggestive,562.661,0.0,,,
LINC02169,16:52836957-52862292,282,1,1,4.0,0.0176097,CMC,1.7542480426388767,Suggestive,,,,,
DNAH8-AS1,6:38982248-39028861,282,2,2,9.0,0.0176708,CMC,1.752743788483005,Suggestive,,,,,
RYR3,"15:31390459-31945595,15:31390459-31945614",282,2,2,,0.0180001,SKAT-O,1.7447250821562743,Suggestive,990.02,1.0,,,
NLE1,"17:30482453-30493383,17:30479862-30493435",282,1,1,,0.01845,Variable_Threshold,1.7340036295049208,Suggestive,,,0.007093,18.5926,18.5926
PPP3CB,"10:74866191-74925788,10:74866191-74925788,10:74866196-74925788,10:74873543-74925788,10:74873543-74925788",282,1,1,,0.01885,Variable_Threshold,1.7246886454581885,Suggestive,,,0.007093,18.5926,18.5926
SYNJ2BP,14:69902968-69953560,282,1,1,,0.01905,Variable_Threshold,1.7201050199883618,Suggestive,,,0.008866,18.5926,18.5926
PDE4A,"19:10404110-10441307,19:10402520-10441307,19:10392213-10441306,19:10388448-10441307,19:10424607-10441306",282,1,1,,0.0192,Variable_Threshold,1.7166987712964503,Suggestive,,,0.007093,18.5926,18.5926
EEF2K,16:22125099-22207560,282,1,1,,0.01925,Variable_Threshold,1.7155692661554804,Suggestive,,,0.007093,18.5926,18.5926
NINL,"20:25381332-25514167,20:25381332-25514167",282,1,1,3.0,0.0195082,CMC,1.7097828006275733,Suggestive,,,,,
KIAA1549L,11:33354229-33652222,282,4,4,6.0,0.0196842,CMC,1.7058822309954493,Suggestive,,,,,
BMPER,"7:33911051-34162564,7:33911675-34162564",282,1,1,,0.0197,Variable_Threshold,1.705533773838407,Suggestive,,,0.007093,18.5926,18.5926
F10,"13:112825113-112851844,13:112825113-112851844,13:112825113-112851844",282,1,1,5.0,0.0197938,CMC,1.7034708222358703,Suggestive,,,,,
TRIM72,16:31132940-31150359,282,1,1,5.0,0.0198588,CMC,1.702046997991883,Suggestive,,,,,
GBA2,"9:35726862-35739225,9:35726862-35739225",282,1,1,5.0,0.0198803,CMC,1.7015770662484881,Suggestive,,,,,
PPP2R2B,"5:145940497-146238513,5:145949260-146415893,5:145949260-146238683,5:145949260-146441276,5:145940497-146441190,5:145949260-146441226,5:145949260-146441226,5:145949260-146415893,5:145949260-146238541,5:145940497-146238513",282,1,1,5.0,0.0199796,CMC,1.699413210781293,Suggestive,,,,,
PIK3C3,"18:37789196-37921791,18:37789196-37921791",282,1,1,,0.02,Variable_Threshold,1.6989700043360187,Suggestive,,,0.007093,18.5926,18.5926
SYNJ2BP-COX16,"14:69861550-69953560,14:69861550-69953560,14:69861550-69953560",282,1,1,,0.0201,Variable_Threshold,1.6968039425795112,Suggestive,,,0.008866,18.5926,18.5926
STRN,2:36918344-37047183,282,5,5,,0.0201052,SKAT-O,1.6966916023191225,Suggestive,1550.25,0.0,,,
EGLN1,"1:229566125-229624656,1:229566125-229624656,1:229566125-229624656",282,2,2,,0.0205434,SKAT-O,1.6873276776306316,Suggestive,1204.96,0.0,,,
LOC101928978,4:85108258-85439346,282,2,2,,0.02055,Variable_Threshold,1.687188173787912,Suggestive,,,0.008866,20.4619,20.4619
ZZZ3,"1:77800688-77921671,1:77800688-77920931,1:77800688-77920931,1:77800688-77921671,1:77800688-77921700,1:77800688-77920931,1:77800688-77920931,1:77800688-77921671,1:77800688-77921671,1:77800688-77921671,1:77800688-77921671,1:77800688-77920931,1:77800688-77920931,1:77800688-77921671",282,2,2,,0.02075,Variable_Threshold,1.6829818989518885,Suggestive,,,0.007093,17.8192,17.8192
PEX5,"12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233075-7255322,12:7232515-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7262436,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233075-7255322,12:7233548-7255322,12:7233075-7262436,12:7233548-7255322,12:7233548-7255322",282,1,1,3.0,0.0208704,CMC,1.6804692272101558,Suggestive,,,,,
MEF2B,"19:19117375-19142072,19:19117375-19142072",282,1,1,5.0,0.0208725,CMC,1.680425530274257,Suggestive,,,,,
ELAPOR2,"7:86344158-86507486,7:86344158-86507486,7:86344158-86433151,7:86344158-86526906",282,2,2,,0.0209852,SKAT-O,1.678086887377796,Suggestive,955.17,1.0,,,
KALRN,"3:125786195-125876964,3:125786195-125876964,3:125786194-125876964,3:125786194-125927862,3:125786195-125876964,3:125786194-125927862,3:125786194-125876964,3:125296217-125927862,3:125296217-125876964,3:125296243-125721387,3:125786195-125876964,3:125296243-125366223,3:125296243-125721387,3:125786194-125876964,3:125296243-125721387,3:125786195-125876964,3:125296243-125721387,3:125296243-125721387",282,4,4,,0.0210189,SKAT-O,1.6773900160161705,Suggestive,4119.46,1.0,,,
P4HA2,"5:131553738-131591445,5:131553738-131591445,5:131553738-131590683,5:131553738-131591445,5:131553738-131591445,5:131553738-131591445,5:131553738-131591445,5:131553738-131591445,5:131553738-131591445",282,1,1,,0.0212,Variable_Threshold,1.6736641390712486,Suggestive,,,0.007093,18.5926,18.5926
GNG12-AS1,1:68070558-68441258,282,2,2,,0.0212,Variable_Threshold,1.6736641390712486,Suggestive,,,0.00532,18.7251,18.7251
ADAMTS18,"16:75873525-76026432,16:75873525-76026432",282,1,1,5.0,0.0212036,CMC,1.673590397212604,Suggestive,,,,,
SYT14,"1:208178141-208404256,1:208178184-208411357,1:208178184-208411357,1:208178141-208404256,1:208178184-208411357,1:208178184-208411357",282,3,3,,0.0214208,SKAT-O,1.6691643136583356,Suggestive,884.662,0.1,,,
TIAM1,"21:31412606-31638540,21:31412606-31853271,21:31412606-31853271,21:31412606-31853271,21:31412606-31853271,21:31412606-31853271,21:31412606-31638540,21:31412606-31638540,21:31412606-31853271,21:31412606-31853271,21:31412606-31455128,21:31412606-31455128",282,2,2,,0.0215,Variable_Threshold,1.6675615400843946,Suggestive,,,0.008866,18.7251,18.7251
BABAM2,"2:27967099-28415271,2:27966985-28415271,2:27966985-28415271,2:27966985-28415271,2:27965079-28415271,2:27966985-28415271,2:27966985-28415271,2:27966985-28415271,2:27966985-28415271,2:27966985-28415271,2:27966985-28415271,2:27966985-28415271,2:27966985-28415271,2:27967099-28415271",282,2,2,4.0,0.0220609,CMC,1.6563767739873645,Suggestive,,,,,
LINC02588,14:26137692-26345513,282,2,2,7.0,0.0221478,CMC,1.65466940692679,Suggestive,,,,,
GOLGA6L10,"15:80729488-80736252,15:80419404-80815253",282,2,2,,0.0223,Variable_Threshold,1.6516951369518393,Suggestive,,,0.008866,17.37,17.37
GJA3,13:19610394-19633191,282,2,2,,0.0223161,SKAT-O,1.6513817011534553,Suggestive,856.244,0.2,,,
LINC01581,15:92249635-92452171,282,3,3,10.0,0.0224516,CMC,1.648752703818312,Suggestive,,,,,
LHFPL6,13:38815028-39075330,282,3,3,9.0,0.0225268,CMC,1.6473004967380407,Suggestive,,,,,
CAB39L,"13:48780786-48885888,13:48780786-48916201,13:48780786-48873679,13:48780786-48916201,13:48780786-48885888",282,1,1,3.0,0.0225855,CMC,1.6461702905425994,Suggestive,,,,,
ZNF445,"3:44448200-44494166,3:44448200-44494166",282,2,2,,0.0228067,SKAT-O,1.6419375501232283,Suggestive,1116.19,0.0,,,
ITFG2,"12:2792094-2804503,12:2792094-2811643,12:2792094-2839218",282,1,1,5.0,0.0228122,CMC,1.641832829506903,Suggestive,,,,,
CA10,"17:47062672-47592160,17:47062672-47592376,17:47062679-47591073",282,3,3,11.0,0.0228325,CMC,1.6414465336800537,Suggestive,,,,,
RHEX,"1:204405504-204454820,1:204405504-204424360",282,2,2,,0.024,Variable_Threshold,1.6197887582883939,Suggestive,,,0.007093,18.5926,18.5926
ADAM17,"2:9546065-9613410,2:9546065-9613410,2:9546065-9613410",282,2,2,,0.0246006,SKAT-O,1.6090543004774571,Suggestive,689.54,0.0,,,
HGF,"7:81209942-81237299,7:81166263-81237299,7:81166263-81237299,7:81218151-81237299,7:81209942-81237299",282,1,1,4.0,0.025189,CMC,1.5987890735936896,Suggestive,,,,,
C1orf112,"1:168030804-168089844,1:168030763-168088853,1:168030804-168040150,1:168030763-168088853,1:168030494-168040150,1:168030804-168089844,1:168030804-168089844,1:168030804-168089844,1:168030804-168089844,1:168030804-168089844,1:168030804-168089844,1:168030804-168089844",282,2,2,4.0,0.0253613,CMC,1.595828488631149,Suggestive,,,,,
DNAI1,"9:34448802-34510982,9:34448749-34510987",282,1,1,3.0,0.0254015,CMC,1.5951406368254113,Suggestive,,,,,
LOC100506675,"11:32014100-32019440,11:32018188-32019440",282,1,1,5.0,0.0257304,CMC,1.5895534622761494,Suggestive,,,,,
LINC00377,13:80490526-80516578,282,1,1,4.0,0.0263253,CMC,1.5796266709458113,Suggestive,,,,,
KATNAL1,"13:29674766-29779688,13:29674766-29779148",282,3,3,,0.0265436,SKAT-O,1.5760401758910556,Suggestive,2032.76,0.1,,,
TRAPPC3L,6:116922844-116973540,282,1,1,3.0,0.0268257,CMC,1.5714489365690618,Suggestive,,,,,
COL13A1,"10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906,10:71231667-71388906",282,3,3,7.0,0.0268471,CMC,1.5711026195367765,Suggestive,,,,,
BCAS1,"20:51993483-52120711,20:51993483-52120540,20:51993483-52120540,20:51993483-52120540,20:51993483-52120540,20:51993483-52120711,20:51993483-52108966",282,3,3,,0.0273063,SKAT-O,1.5637371427180033,Suggestive,2030.82,0.5,,,
CSMD1,8:2780289-4839844,282,15,15,,0.0274536,SKAT-O,1.561400698295061,Suggestive,3262.43,0.0,,,
LINC02328,14:85470774-85665874,282,1,1,5.0,0.0274933,CMC,1.5607731289897226,Suggestive,,,,,
RBMS3,"3:29297565-30026881,3:29297806-30007813,3:29297806-30007813,3:29297565-30026881,3:29297565-30026881,3:29297806-30026890",282,4,4,,0.0276226,SKAT-O,1.5587354455072262,Suggestive,1187.27,0.0,,,
B3GNT2,"2:62296159-62305370,2:62276753-62305370",282,1,1,,0.0278583,SKAT-O,1.5550453891017708,Suggestive,290.859,0.0,,,
ANKRD50,"4:125804653-125853337,4:125804653-125853337",282,1,1,,0.0279141,SKAT-O,1.554176370010748,Suggestive,430.502,0.0,,,
HPSE,"4:84432637-84475025,4:84432637-84475330,4:84432637-84474990,4:84432637-84475330",282,1,1,4.0,0.0282418,CMC,1.5491076268427908,Suggestive,,,,,
TPK1,"7:143779966-144164079,7:143779966-144164079,7:143779966-144164079,7:143779966-144164079,7:143779966-144164079,7:143779966-144164079,7:143779966-144164079,7:143779966-144164079,7:143779966-144164079,7:143779966-144066924,7:143779966-144164079,7:143779966-144164079,7:143779966-144066924,7:143779966-144163966,7:143779966-144164079,7:143779966-144163966,7:143779966-144163966,7:143779966-144164079",282,1,1,5.0,0.0287164,CMC,1.541870005868856,Suggestive,,,,,
FGF6,12:4413568-4425041,282,1,1,,0.0289685,SKAT-O,1.5380739921482753,Suggestive,580.036,0.0,,,
ADCY10P1,6:41176750-41216551,282,1,1,5.0,0.0290483,CMC,1.5368792788406962,Suggestive,,,,,
MYO3B,"2:170742902-171219923,2:170742902-171219923,2:170742902-171219923,2:170742902-171219923,2:170742902-171219923",282,3,3,,0.0291,Variable_Threshold,1.5361070110140926,Suggestive,,,0.008866,18.7923,18.7923
SMIM28,6:138740734-138746315,282,1,1,,0.0291201,SKAT-O,1.5358071379656755,Suggestive,652.54,0.0,,,
TBC1D2,"9:100001114-100057752,9:100001100-100015654,9:100001114-100057752,9:100001114-100057752",282,2,2,4.0,0.0293393,CMC,1.532550252107048,Suggestive,,,,,
LONP2,"16:46835711-46948761,16:46835711-46948761,16:46835711-46954415",282,1,1,5.0,0.0293577,CMC,1.5322779717953194,Suggestive,,,,,
MIR548AE2,16:46832103-46978060,282,1,1,5.0,0.0293577,CMC,1.5322779717953194,Suggestive,,,,,
SNX27,"1:149851149-149938180,1:149851149-149938180",282,1,1,3.0,0.0295518,CMC,1.5294160611022063,Suggestive,,,,,
GARRE1,19:39437298-39538311,282,1,1,3.0,0.0295518,CMC,1.5294160611022063,Suggestive,,,,,
ABCA10,"17:64655742-64752584,17:64655742-64736560",282,1,1,4.0,0.0295519,CMC,1.5294145915005335,Suggestive,,,,,
MAVS,"20:3775480-3804765,20:3775480-3804765,20:3775445-3804770,20:3775480-3804765",282,1,1,4.0,0.0296208,CMC,1.5284032162100263,Suggestive,,,,,
MGC4859,7:10455971-10786096,282,2,2,,0.0300657,SKAT-O,1.5219286803068135,Suggestive,682.033,1.0,,,
PRCC,1:155003950-155037230,282,1,1,5.0,0.0301423,CMC,1.5208236120347287,Suggestive,,,,,
ASAP1,"8:131133532-131525102,8:131133532-131525088,8:131133532-131525088,8:131133532-131525102,8:131133532-131525102",282,2,2,8.0,0.0301483,CMC,1.5207371717969465,Suggestive,,,,,
SLC25A21,"14:36216876-36711562,14:36216876-36711562",282,2,2,,0.03035,Variable_Threshold,1.5178413045887236,Suggestive,,,0.008866,17.37,17.37
KCNJ6,21:37901544-38210630,282,1,1,,0.0303568,SKAT-O,1.5177440106285975,Suggestive,171.438,0.0,,,
LINC02873,11:130048060-130092457,282,1,1,,0.030637,SKAT-O,1.5137537634269445,Suggestive,321.024,0.0,,,
TAF1B,"2:9901021-9991996,2:9901053-9991996,2:9901021-9991996",282,1,1,,0.0307377,SKAT-O,1.512328632434152,Suggestive,195.618,0.0,,,
ANO5,"11:22171206-22261479,11:22171206-22261479",282,1,1,,0.0307747,SKAT-O,1.5118061719946838,Suggestive,213.627,0.0,,,
MALT1,"18:54489676-54572689,18:54489676-54572689",282,1,1,5.0,0.0312584,CMC,1.5050332556499946,Suggestive,,,,,
ALPK2,18:54299460-54447303,282,2,2,6.0,0.0312585,CMC,1.505031866283337,Suggestive,,,,,
TRAF3IP2-AS1,"6:111911367-112030190,6:111911367-112030190,6:111911367-111931504,6:111911367-112006076",282,1,1,5.0,0.0313975,CMC,1.5031049308894933,Suggestive,,,,,
