Gene,RANGE,N_INFORMATIVE,NumVar,NumPolyVar,NonRefSite,P_value,Test_Type,neg_log10_p,significance_level,Q,rho,OptFreq,Zmax,Stat
AMZ2,"17:63755739-63764900,17:63755739-63764900,17:63755778-63764891,17:63755739-63764900,17:63755739-63764900,17:63755739-63764900,17:63755739-63764900,17:63755739-63764900,17:63755309-63764900,17:63713864-63764900,17:63755739-63764900,17:63755739-63764900,17:63755739-63764900,17:63755739-63764900,17:63755739-63764900,17:63755739-63764900,17:63755739-63764900,17:63713864-63764900,17:63713864-63764900,17:63713864-63764900,17:63713864-63764900,17:63755309-63764900,17:63755309-63764900,17:63755739-63764900,17:63755739-63764900",282,1,1,3.0,0.321006,CMC,0.49348685001712556,Not_Significant,,,,,
FOXP2,"7:113842287-114121063,7:113853792-114081434,7:113842105-114121056,7:113842105-114121056,7:113842105-114121056,7:113513617-114121056,7:113853792-114081434,7:113842105-114121056",282,2,2,5.0,0.652408,CMC,0.18548072216494177,Not_Significant,,,,,
VLDLR,"9:2611786-2650056,9:2611786-2650056,9:2611786-2650056,9:2611786-2650056",282,2,2,8.0,0.477238,CMC,0.3212649829956963,Not_Significant,,,,,
ABCC6,"16:16150922-16224852,16:16150922-16224829,16:16150922-16224829,16:16222544-16224829",282,1,1,3.0,0.0652292,CMC,1.1855579478260647,Not_Significant,,,,,
TTF2,1:117404470-117451598,282,2,2,8.0,0.227672,CMC,0.6426903773480548,Not_Significant,,,,,
MICAL2,"11:12088712-12241907,11:12088712-12241907,11:12140201-12241913,11:12116512-12241913,11:12088712-12241907,11:12088712-12241907,11:12088712-12241907,11:12116512-12241913,11:12088712-12241907,11:12088712-12241907,11:12088712-12241907,11:12088712-12241907,11:12140201-12241913,11:12088712-12241907,11:12088712-12241907,11:12088712-12241907,11:12088698-12186492,11:12088712-12241907,11:12088712-12241907,11:12088712-12241907,11:12088712-12241907",282,1,1,4.0,0.517166,CMC,0.28637003463803645,Not_Significant,,,,,
RSRC1,"3:159310534-159745318,3:159310534-159745318,3:159310571-159746213",282,1,1,3.0,0.0805472,CMC,1.0939495520254576,Not_Significant,,,,,
B3GALT5,"21:39951129-39966934,21:39951129-39966934,21:39951129-39966934,21:39951129-39966934,21:39906736-39956686,21:39936192-39966934,21:39936192-39966934,21:39906736-39966934",282,1,1,3.0,0.458875,CMC,0.3383056024879568,Not_Significant,,,,,
MTHFD1,"14:63924823-63996496,14:63924823-63996496",282,1,1,5.0,0.58022,CMC,0.23640730528182696,Not_Significant,,,,,
GMPPA,"2:220071856-220079955,2:220071856-220079955,2:220071856-220079955,2:220071856-220079955",282,1,1,4.0,0.418756,CMC,0.37803895727277376,Not_Significant,,,,,
ROBO2,"3:77171939-77781804,3:76442720-77781804,3:77171939-77781804,3:77171939-77781804,3:77229852-77781804,3:77171939-77781804,3:77229852-77781804,3:77171939-77781804,3:77229852-77781804,3:77229852-77781804,3:77229852-77781804,3:76442720-77781804,3:77229852-77781804,3:76442720-77781804,3:77229852-77781804,3:77171939-77781804,3:77171939-77781804,3:77229852-77781804,3:76442720-77781804",282,6,6,14.0,0.0506949,CMC,1.2950357292912313,Not_Significant,,,,,
SNX4,"3:126648183-126721736,3:126648183-126721736",282,1,1,3.0,0.726647,CMC,0.13867651511559742,Not_Significant,,,,,
MBNL2,"13:96672587-96844375,13:96672587-96844375,13:96592088-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96592088-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96592088-96844375,13:96592088-96844375,13:96592088-96844375,13:96672587-96844375,13:96672587-96844375,13:96592088-96844375,13:96672587-96844375,13:96592088-96844375,13:96592088-96844375,13:96672587-96844375,13:96592088-96844375,13:96592088-96844375,13:96672587-96844375,13:96672587-96844375,13:96592088-96844375,13:96592088-96844375,13:96672587-96844375,13:96672587-96844375,13:96592088-96844375,13:96672587-96844375,13:96672587-96844375,13:96592088-96844375,13:96592088-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375,13:96672587-96844375",282,1,1,4.0,0.091203,CMC,1.0399908759038516,Not_Significant,,,,,
CLPB,"11:71681116-71823376,11:71674186-71823223,11:71674186-71823223,11:71674186-71823223",282,1,1,2.0,0.207697,CMC,0.6825697764203904,Not_Significant,,,,,
HDAC9,"7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18554655,7:18092972-18674991,7:18092972-18674991,7:18501896-18674991,7:18515417-18674991,7:18501857-18674991,7:18501896-18674991,7:18092972-18674991,7:18502409-19008562,7:18501896-19008562,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-19008562,7:18092972-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18515417-18674991,7:18501896-18674991,7:18501896-19008562,7:18092972-18674991,7:18296239-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18501896-18674991,7:18092972-19008562,7:18501896-18674991,7:18092972-18674991,7:18502409-18960464",282,4,4,11.0,0.267367,CMC,0.572892196933117,Not_Significant,,,,,
MIA3,"1:220858066-220907977,1:220884267-220907977,1:220858066-220907977,1:220858061-220907972,1:220858066-220907977,1:220884267-220907977",282,1,1,4.0,0.608983,CMC,0.2153948306992119,Not_Significant,,,,,
DPP9,"19:4626238-4674854,19:4626238-4674854,19:4626238-4674854,19:4626238-4671405,19:4626238-4674854,19:4645152-4674854,19:4645152-4674854,19:4626238-4674854,19:4626238-4674854,19:4626238-4674854,19:4645152-4674854,19:4626238-4674854,19:4626238-4674854,19:4645152-4674854,19:4626238-4674854,19:4626238-4674854,19:4645152-4674854,19:4626238-4674854,19:4626238-4674854,19:4626238-4674854,19:4626238-4674854,19:4626238-4674854,19:4645152-4674854,19:4645152-4674854,19:4626238-4674854,19:4626238-4674854,19:4626238-4674854,19:4645152-4674854,19:4626238-4674854,19:4626238-4674854,19:4626238-4674854,19:4626238-4674854,19:4645152-4674854,19:4626238-4671364,19:4645152-4674854,19:4626238-4673785,19:4626238-4674854,19:4626238-4674854,19:4645152-4674854,19:4626238-4674175,19:4626238-4674854",282,2,2,5.0,0.175583,CMC,0.7555175349196275,Not_Significant,,,,,
ALDH3A1,"17:19581889-19589517,17:19581893-19592203,17:19581889-19589364,17:19581893-19592203",282,1,1,3.0,0.008596,CMC,2.0657035931805945,Significant,,,,,
KIF3A,"5:132056221-132101137,5:132056221-132101137,5:132056221-132101137",282,1,1,4.0,0.34093,CMC,0.46733478151910907,Not_Significant,,,,,
PEX5,"12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233075-7255322,12:7232515-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7262436,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233548-7255322,12:7233075-7255322,12:7233548-7255322,12:7233075-7262436,12:7233548-7255322,12:7233548-7255322",282,1,1,3.0,0.0208704,CMC,1.6804692272101558,Suggestive,,,,,
BAG6,"6:31714783-31728417,6:31714783-31728417,6:31714783-31728456,6:31714783-31728146,6:31714783-31728456,6_cox_hap1:3052922-3066564,6_cox_hap1:3052922-3066603,6_cox_hap1:3052922-3066293,6_cox_hap1:3052922-3066564,6_cox_hap1:3052922-3066603,6_qbl_hap2:2854383-2868023,6_qbl_hap2:2854383-2867752,6_qbl_hap2:2854383-2868062,6_qbl_hap2:2854383-2868023,6_qbl_hap2:2854383-2868062",282,1,1,3.0,0.861623,CMC,0.06468271658128723,Not_Significant,,,,,
SLC12A6,"15:32309276-32417274,15:32309276-32416509,15:32309276-32417550,15:32309276-32417274,15:32309488-32416337,15:32309488-32398313,15:32309276-32417274",282,1,1,4.0,0.968436,CMC,0.01392907475410718,Not_Significant,,,,,
PRKG1,"10:52420653-53728116,10:53476521-53728116,10:52504252-53728116,10:52504252-53492631",282,6,6,15.0,0.635304,CMC,0.19701841025192726,Not_Significant,,,,,
PARP6,"15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949,15:70320575-70351949",282,1,1,5.0,0.122566,CMC,0.911629987079046,Not_Significant,,,,,
CHODL,"21:18211527-18561558,21:18211527-18561558,21:18540062-18561558,21:18211527-18561558,21:18539020-18561558,21:18211527-18561558",282,1,1,4.0,0.543497,CMC,0.26480284879395444,Not_Significant,,,,,
CLIC6,"21:34963162-35012391,21:34963162-35012391",282,1,1,4.0,0.0563902,CMC,1.248796365089917,Not_Significant,,,,,
RBMS3,"3:29297565-30026881,3:29297806-30007813,3:29297806-30007813,3:29297565-30026881,3:29297565-30026881,3:29297806-30026890",282,4,4,15.0,0.0594306,CMC,1.2259898851654187,Not_Significant,,,,,
NR6A1,"9:126319374-126573411,9:126319374-126573411,9:126319374-126573411",282,1,1,4.0,0.77433,CMC,0.1110739144649142,Not_Significant,,,,,
GTDC1,"2:144412106-144711376,2:144412106-144722736,2:144412106-144806549,2:144412106-144807106,2:144412106-144806271,2:144412106-144806271,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144420050-144769350,2:144479789-144718926,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144412106-144807106,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144479789-144806549,2:144412106-144806549,2:144412106-144806549,2:144412106-144807106,2:144412106-144806549,2:144412106-144806271,2:144412106-144806549,2:144418450-144768530,2:144412106-144806549,2:144412106-144806271,2:144412106-144806549,2:144412106-144806549,2:144412106-144807106,2:144412106-144806549,2:144412106-144806549,2:144412106-144806271,2:144412106-144806549,2:144412106-144806549,2:144479789-144806271,2:144412106-144806549,2:144420050-144768512,2:144412106-144807106,2:144412106-144807106,2:144412106-144806549,2:144412106-144806549,2:144412106-144806549,2:144412106-144807106,2:144412106-144806271,2:144412106-144806549,2:144412106-144806549,2:144412106-144806271,2:144412106-144806549,2:144479789-144806549",282,2,2,5.0,0.128,CMC,0.8927900303521317,Not_Significant,,,,,
PPFIBP2,"11:7491805-7631562,11:7555697-7631562,11:7491805-7631562,11:7554846-7635948,11:7491805-7631562,11:7491805-7631562,11:7583540-7631562,11:7554846-7631562,11:7554846-7631562,11:7554846-7631562,11:7491805-7631562,11:7491805-7631562,11:7491805-7631562,11:7574995-7631562",282,1,1,4.0,0.577178,CMC,0.23869023104474432,Not_Significant,,,,,
GRID2,"4:93444139-94914740,4:93444572-94914729",282,3,3,12.0,0.8988,CMC,0.04633693625290868,Not_Significant,,,,,
THRB,"3:24133648-24511345,3:24133648-24512203,3:24133648-24511345,3:24133648-24512203,3:24133648-24511345,3:24133648-24511345,3:24133648-24511345,3:24133648-24511345,3:24133648-24511345,3:24133648-24511345,3:24133648-24511345,3:24133648-24512203,3:24133648-24511345,3:24133648-24511345,3:24133648-24511345,3:24133648-24512203,3:24133648-24511345,3:24133648-24511345",282,2,2,7.0,0.155815,CMC,0.807390735985319,Not_Significant,,,,,
RTN4,"2:55052830-55218471,2:55052830-55131091,2:55052830-55131238,2:55052830-55131912,2:55052830-55131091,2:55052830-55127966,2:55052830-55090912,2:55052830-55129306,2:55052830-55130331,2:55052830-55129796,2:55052830-55130331,2:55052830-55129796,2:55052830-55131091",282,4,4,6.0,0.849624,CMC,0.07077322823017913,Not_Significant,,,,,
SOD2-OT1,6:160101280-160103354,282,1,1,4.0,0.323941,CMC,0.48953408148384464,Not_Significant,,,,,
ZNF100,"19:21697412-21742221,19:21697412-21742221,19:21697412-21742221,19:21697412-21742221,19:21697412-21742221",282,1,1,5.0,0.585332,CMC,0.23259773243198542,Not_Significant,,,,,
LRMDA,"10:77212524-77987139,10:77077272-77987139,10:76861387-77989932",282,4,4,11.0,0.0534041,CMC,1.272425399544053,Not_Significant,,,,,
CMTM4,"16:65206153-65288147,16:65206153-65288147",282,1,1,5.0,0.742745,CMC,0.12916026309174156,Not_Significant,,,,,
KCTD1,"18:22288872-22383397,18:22288872-22491435,18:22288872-22383776,18:22288872-22382515,18:22288872-22383397,18:22288872-22474306",282,2,2,7.0,0.62878,CMC,0.2015012806260521,Not_Significant,,,,,
ELAVL2,"9:23680102-23840599,9:23680102-23816238,9:23680102-23816238,9:23680102-23811307,9:23680102-23816238,9:23680102-23816238,9:23680102-23840599,9:23680102-23816238,9:23680102-23816238,9:23680102-23811307,9:23680102-23811307,9:23680102-23816238,9:23680102-23811307,9:23680102-23811818,9:23680102-23816238,9:23680102-23816238,9:23680102-23840599,9:23680102-23816238,9:23680102-23811307,9:23680102-23811818,9:23680102-23840599,9:23680102-23811154,9:23680102-23811154,9:23680102-23811307,9:23680102-23811307,9:23680102-23811307,9:23680102-23811818,9:23680102-23811818,9:23680102-23811818,9:23680102-23811818,9:23680102-23811818,9:23680102-23811818,9:23680102-23812553,9:23680102-23813130,9:23680102-23813130,9:23680102-23813130,9:23680102-23813130,9:23680102-23813130,9:23680102-23840599,9:23680102-23840599,9:23680102-23840599",282,2,2,9.0,0.191978,CMC,0.716748537057053,Not_Significant,,,,,
NTM,"11:130745719-131711926,11:130745719-131711926,11:131285921-131711926,11:131285027-131711926,11:130745719-131711926,11:131285921-131711926,11:131285921-131711926,11:131285921-131690171,11:131285921-131711926,11:131285921-131711926,11:131285921-131711926,11:131285027-131711926,11:131285921-131711926,11:131285921-131711926,11:131285027-131711926,11:130745719-131711926,11:130745719-131711926,11:130745719-131711926,11:131285921-131711926,11:130745719-131711926",282,8,8,16.0,0.860949,CMC,0.0650225740685106,Not_Significant,,,,,
LRFN2,6:40467307-40663081,282,1,1,4.0,0.578646,CMC,0.2375870446733803,Not_Significant,,,,,
VTI1A,"10:114196735-114200473,10:114196735-114568493,10:114196735-114200473,10:114196962-114605117,10:114196735-114568493,10:114196962-114502357,10:114196962-114605117,10:114196962-114568493,10:114196962-114487547,10:114196735-114200473,10:114196962-114568493",282,1,1,4.0,0.184094,CMC,0.7349603658107848,Not_Significant,,,,,
FLNB,"3:57969188-58133017,3:57969188-58133017,3:57969188-58133017,3:57969188-58133017",282,2,2,7.0,0.153991,CMC,0.8125046607515589,Not_Significant,,,,,
CAMTA1,"1:6768100-6854661,1:6768100-6854661,1:7687382-7752353,1:7652390-7752353,1:6767970-6870848,1:6768100-7752353,1:7652376-7752353,1:7662734-7752353,1:6768100-7752353,1:6768100-7752353,1:6768100-7752353,1:7687382-7752353,1:7652376-7752353,1:7687382-7752353,1:7652376-7752353,1:7652376-7752353,1:7687382-7752353,1:7687382-7752353,1:7652411-7752353,1:7687382-7752353,1:7687382-7752353,1:6768100-7752353,1:6768100-6854661,1:6768100-6870848,1:6767970-6870848,1:6767970-6870848",282,4,4,10.0,0.558428,CMC,0.2530328139869256,Not_Significant,,,,,
ANKS1B,"12:97661882-98072675,12:97661882-98072675,12:97661882-98072675,12:97661882-98072838,12:97661882-98072838,12:97661882-98072675,12:97661882-97812683,12:97661882-98072675,12:97661882-98072675,12:97661882-98072675,12:97661882-98072999,12:97661882-98072999,12:97661882-98902563,12:97661882-98902563,12:97661882-97812683,12:97661882-98072675,12:97661882-97813200,12:97661882-97812683,12:97652699-97812805,12:97661882-97813200,12:97661882-97813200,12:97661882-98072675,12:97652699-97812805,12:97652699-98072708,12:97661882-98072675,12:97652699-98072708,12:97661882-97813200,12:97652699-98072708,12:97661882-98072675,12:97661882-98072675,12:97652699-97812805,12:97661882-98072999,12:97661882-97812683,12:97661882-97812683,12:97661882-97812683,12:97661882-97812683,12:97661882-98072838,12:97661882-97812683,12:97652699-97812805,12:97661882-97812683,12:97661882-98072838,12:97661882-97812683,12:97661882-97813200,12:97661882-98902563,12:97661882-98902563,12:97661882-98072675,12:97661882-97813200,12:97652699-97812805,12:97661882-97812683,12:97661882-98072675,12:97652699-98902563,12:97661882-98072675",282,1,1,4.0,0.307824,CMC,0.5116975227071737,Not_Significant,,,,,
STX11,6:144513346-144554769,282,1,1,3.0,0.112955,CMC,0.9470945400924606,Not_Significant,,,,,
LRRC8B,"1:89762975-89836008,1:89762975-89836008,1:89762975-89836008,1:89762975-89836008",282,1,1,3.0,0.834202,CMC,0.07872877326755187,Not_Significant,,,,,
BICRAL,"6:42896771-42944276,6:42822702-42944270",282,2,2,3.0,0.413388,CMC,0.383642134407868,Not_Significant,,,,,
NEDD4,"15:53906413-54073102,15:53906408-53996621,15:53906413-54073102,15:53906413-53996626,15:53906408-53996621,15:53906408-53996621,15:53906408-53996621",282,4,4,8.0,0.82955,CMC,0.08115743234044116,Not_Significant,,,,,
PLD5,"1:240312910-240754622,1:240318311-240679407,1:240312910-240679393,1:240312910-240754622",282,1,1,3.0,0.733781,CMC,0.13443353774494646,Not_Significant,,,,,
SCN7A,"2:166968328-167059005,2:166968328-167051727",282,1,1,5.0,0.3598,CMC,0.44393884099046743,Not_Significant,,,,,
TTC27,"2:32706620-32899622,2:32706620-32899622",282,2,2,7.0,0.656057,CMC,0.1830584263102298,Not_Significant,,,,,
AXIN1,"16:277440-342724,16:277440-342724,16:277440-342724",282,1,1,5.0,0.313774,CMC,0.5033830458489618,Not_Significant,,,,,
SLC7A6,"16:66855929-66893223,16:66855929-66893223",282,1,1,5.0,0.22919,CMC,0.6398043353938412,Not_Significant,,,,,
COQ2,"4:84404000-84425311,4:84404000-84424975",282,1,1,4.0,0.032495,CMC,1.4881834586969098,Suggestive,,,,,
SLC35D2,"9:98122812-98185814,9:98122812-98185814,9:98115539-98185813",282,1,1,5.0,0.396949,CMC,0.40126528779952697,Not_Significant,,,,,
GRM5,"11:87877458-88436475,11:87877458-88438798,11:87877458-88438798",282,2,2,5.0,0.899829,CMC,0.04584001435224523,Not_Significant,,,,,
NRG1,"8:32572885-32751104,8:32525370-32739081,8:32624149-32751104,8:32572885-32751104,8:32525370-32751104,8:32698812-32745017,8:32525370-32705678,8:32525269-32720312,8:32525370-32751104,8:32525370-32705678,8:32624149-32739081,8:32572885-32751104,8:32525370-32751104,8:32525370-32705678,8:32624149-32751104,8:32698894-32751104,8:32572885-32751104,8:32572885-32751104,8:32525370-32751104,8:31616809-32720312,8:32623792-32720312,8:32525370-32751104,8:32525269-32720312",282,2,2,8.0,0.72906,CMC,0.13723672875110496,Not_Significant,,,,,
EVI5L,"19:7801103-7835862,19:7801103-7835862",282,1,1,4.0,0.371326,CMC,0.4302446406978834,Not_Significant,,,,,
ACSBG2,"19:6086677-6144102,19:6086677-6144102,19:6086677-6144102,19:6086677-6144102,19:6086677-6144102,19:6086643-6144114",282,2,2,8.0,0.27695,CMC,0.5575986305172976,Not_Significant,,,,,
TMEM163,2:134929799-135193040,282,3,3,12.0,0.467386,CMC,0.3303243005313127,Not_Significant,,,,,
ODF2L,"1:86585094-86634613,1:86585107-86634594,1:86585107-86634594,1:86585094-86634613,1:86585107-86634594,1:86585107-86634594,1:86585107-86634332,1:86585107-86634594,1:86585107-86634594",282,1,1,5.0,0.509263,CMC,0.293057875914046,Not_Significant,,,,,
CHMP3,"2:86584063-86644077,2:86584063-86644077,2:86584063-86644077,2:86584063-86644077",282,3,3,10.0,0.10328,CMC,0.9859837707416361,Not_Significant,,,,,
ZHX3,"20:39240508-39379785,20:39240508-39334310,20:39240508-39379785,20:39240508-39362174,20:39240508-39379785,20:39240508-39379785,20:39240508-39362174,20:39240508-39379785,20:39240508-39379785,20:39240508-39379785,20:39240508-39379785,20:39240508-39379785",282,1,1,4.0,0.00270625,CMC,2.5676320863025595,Significant,,,,,
SLC25A48,"5:134942753-135252225,5:135198263-135252225,5:135198263-135252225,5:135198250-135247038,5:134942760-135247038",282,2,2,6.0,0.302561,CMC,0.5191870531018772,Not_Significant,,,,,
LCORL,"4:17451919-17632596,4:17451919-17632596,4:17451919-17632596,4:17491315-17632596,4:17451919-17632596,4:17491315-17632596,4:17491315-17632596,4:17451918-17632476,4:17451919-17632596,4:17451919-17632596,4:17491315-17632596,4:17451919-17632596,4:17491315-17632596,4:17451919-17632596,4:17503012-17632596,4:17451919-17632596",282,1,1,3.0,0.597602,CMC,0.22358795773296833,Not_Significant,,,,,
ITIH5,"10:7641237-7748935,10:7653373-7748967,10:7641237-7701642",282,1,1,5.0,0.242922,CMC,0.6145331519468551,Not_Significant,,,,,
ALG9,"11:111158128-111247515,11:111158128-111247234,11:111158128-111247234,11:111158128-111247214,11:111158128-111247515,11:111158128-111247515,11:111158128-111247234,11:111158128-111247234,11:111158128-111247234,11:111158128-111247234,11:111158128-111247234,11:111158128-111247234,11:111158128-111247214,11:111158128-111247214,11:111158128-111247234,11:111158128-111247234,11:111158128-111247515,11:111158128-111247515,11:111158128-111247515,11:111158128-111247515",282,2,2,4.0,0.00748296,CMC,2.1259265762824717,Significant,,,,,
NPEPL1,"20:56701261-56724307,20:56697592-56724307,20:56697592-56724307",282,2,2,6.0,0.816932,CMC,0.08781409188108823,Not_Significant,,,,,
TCF4,"18:51040413-51140070,18:51040413-51240526,18:51040413-51406421,18:51040413-51408040,18:51040413-51408040,18:51040413-51408040,18:51040413-51406421,18:51040559-51222224,18:51040413-51329001,18:51040559-51406858,18:51040413-51408040,18:51040413-51408040,18:51040413-51454186,18:51040413-51404351,18:51040413-51404351,18:51040413-51406421,18:51040413-51120889,18:51040413-51406421,18:51040413-51120889,18:51040413-51140070,18:51040413-51240526,18:51040413-51406421,18:51040413-51408040,18:51040413-51406421,18:51040413-51219917,18:51040413-51406421,18:51040413-51406421,18:51040413-51406421,18:51040413-51406846,18:51040413-51140070,18:51040413-51406421,18:51040413-51408040,18:51040559-51222224,18:51040559-51404348,18:51040413-51139164,18:51040413-51240526,18:51040413-51329001,18:51040559-51404348,18:51040559-51404348,18:51040413-51404351,18:51040413-51404351,18:51040413-51408040,18:51040413-51406846,18:51040413-51406846,18:51040413-51406421,18:51040413-51408040",282,2,2,4.0,0.921266,CMC,0.03561495649911239,Not_Significant,,,,,
SYNE3,"14:94980204-95036630,14:94943355-95052740,14:94943355-95052740,14:94980204-95052740,14:94984117-95052740,14:94984117-95052740",282,1,1,3.0,0.705064,CMC,0.1517714594833416,Not_Significant,,,,,
EPHA7,"6:94006460-94185998,6:94006460-94183599,6:94026391-94183821,6:94109062-94185998,6:94026391-94185998,6:94176092-94185998,6:94006460-94185998,6:94006460-94185998,6:94006460-94185998,6:94006460-94185998,6:94029251-94185998",282,2,2,6.0,0.909248,CMC,0.041317645554987195,Not_Significant,,,,,
ELP1,"9:110669617-110736225,9:110669617-110736225,9:110669617-110736225",282,1,1,5.0,0.906933,CMC,0.042424795415167894,Not_Significant,,,,,
A2ML1,"12:8888866-8920644,12:8866483-8920650",282,1,1,4.0,0.352832,CMC,0.4524320335368438,Not_Significant,,,,,
RASGRP3-AS1,2:33633615-33648001,282,1,1,3.0,0.613642,CMC,0.212084923270279,Not_Significant,,,,,
ATP9B,"18:74930381-75239270,18:74930381-75239270,18:74930381-75239270",282,2,2,7.0,0.813969,CMC,0.08939213489618854,Not_Significant,,,,,
LMNTD1,"12:25520282-25597484,12:25540518-25692779,12:25540518-25692779,12:25544052-25597484,12:25520282-25597484,12:25540518-25692779,12:25520282-25597484,12:25540518-25692779",282,1,1,5.0,0.0385576,CMC,1.4138900063873305,Suggestive,,,,,
